"","year","state","area","population","actual_rate","report_type","crime_type","number"
"1",1999,"ALABAMA","Metropolitan Statistical Area",2960883,0.931,"Area actually reporting","violent_crime",15328
"2",1999,"ALABAMA","Metropolitan Statistical Area",2960883,1,"Estimated totals","violent_crime",15835
"3",1999,"ALABAMA","Cities outside metropolitan areas",597141,0.902,"Area actually reporting","violent_crime",3621
"4",1999,"ALABAMA","Cities outside metropolitan areas",597141,1,"Estimated totals","violent_crime",4017
"5",1999,"ALABAMA","Rural",811976,0.813,"Area actually reporting","violent_crime",1275
"6",1999,"ALABAMA","Rural",811976,1,"Estimated totals","violent_crime",1569
"7",1999,"ALABAMA","State Total",4370000,99,"total","violent_crime",21421
"8",1999,"ALABAMA","State Total",1e+05,99,"rate","violent_crime",490.2
"9",1999,"ALASKA","Metropolitan Statistical Area",257762,1,"Area actually reporting","violent_crime",1685
"10",1999,"ALASKA","Cities outside metropolitan areas",167739,0.691,"Area actually reporting","violent_crime",1010
"11",1999,"ALASKA","Cities outside metropolitan areas",167739,1,"Estimated totals","violent_crime",1460
"12",1999,"ALASKA","Rural",193499,1,"Area actually reporting","violent_crime",764
"13",1999,"ALASKA","State Total",619000,99,"total","violent_crime",3909
"14",1999,"ALASKA","State Total",1e+05,99,"rate","violent_crime",631.5
"15",1999,"ARIZONA","Metropolitan Statistical Area",4197878,0.999,"Area actually reporting","violent_crime",24418
"16",1999,"ARIZONA","Metropolitan Statistical Area",4197878,1,"Estimated totals","violent_crime",24433
"17",1999,"ARIZONA","Cities outside metropolitan areas",282508,0.985,"Area actually reporting","violent_crime",995
"18",1999,"ARIZONA","Cities outside metropolitan areas",282508,1,"Estimated totals","violent_crime",1010
"19",1999,"ARIZONA","Rural",297614,0.925,"Area actually reporting","violent_crime",823
"20",1999,"ARIZONA","Rural",297614,1,"Estimated totals","violent_crime",891
"21",1999,"ARIZONA","State Total",4778000,99,"total","violent_crime",26334
"22",1999,"ARIZONA","State Total",1e+05,99,"rate","violent_crime",551.2
"23",1999,"ARKANSAS","Metropolitan Statistical Area",1240226,1,"Area actually reporting","violent_crime",6845
"24",1999,"ARKANSAS","Cities outside metropolitan areas",491786,0.99,"Area actually reporting","violent_crime",2768
"25",1999,"ARKANSAS","Cities outside metropolitan areas",491786,1,"Estimated totals","violent_crime",2796
"26",1999,"ARKANSAS","Rural",818988,1,"Area actually reporting","violent_crime",1207
"27",1999,"ARKANSAS","State Total",2551000,99,"total","violent_crime",10848
"28",1999,"ARKANSAS","State Total",1e+05,99,"rate","violent_crime",425.2
"29",1999,"CALIFORNIA","Metropolitan Statistical Area",32024277,0.999,"Area actually reporting","violent_crime",203067
"30",1999,"CALIFORNIA","Metropolitan Statistical Area",32024277,1,"Estimated totals","violent_crime",203105
"31",1999,"CALIFORNIA","Cities outside metropolitan areas",480772,0.995,"Area actually reporting","violent_crime",2685
"32",1999,"CALIFORNIA","Cities outside metropolitan areas",480772,1,"Estimated totals","violent_crime",2699
"33",1999,"CALIFORNIA","Rural",639951,1,"Area actually reporting","violent_crime",2075
"34",1999,"CALIFORNIA","State Total",33145000,99,"total","violent_crime",207879
"35",1999,"CALIFORNIA","State Total",1e+05,99,"rate","violent_crime",627.2
"36",1999,"COLORADO","Metropolitan Statistical Area",3392394,0.998,"Area actually reporting","violent_crime",12424
"37",1999,"COLORADO","Metropolitan Statistical Area",3392394,1,"Estimated totals","violent_crime",12450
"38",1999,"COLORADO","Cities outside metropolitan areas",294158,0.94,"Area actually reporting","violent_crime",839
"39",1999,"COLORADO","Cities outside metropolitan areas",294158,1,"Estimated totals","violent_crime",893
"40",1999,"COLORADO","Rural",369448,0.975,"Area actually reporting","violent_crime",457
"41",1999,"COLORADO","Rural",369448,1,"Estimated totals","violent_crime",468
"42",1999,"COLORADO","State Total",4056000,99,"total","violent_crime",13811
"43",1999,"COLORADO","State Total",1e+05,99,"rate","violent_crime",340.5
"44",1999,"CONNECTICUT","Metropolitan Statistical Area",2732702,1,"Area actually reporting","violent_crime",10035
"45",1999,"CONNECTICUT","Cities outside metropolitan areas",70297,1,"Area actually reporting","violent_crime",220
"46",1999,"CONNECTICUT","Rural",479001,1,"Area actually reporting","violent_crime",1087
"47",1999,"CONNECTICUT","State Total",3282000,99,"total","violent_crime",11342
"48",1999,"CONNECTICUT","State Total",1e+05,99,"rate","violent_crime",345.6
"49",1999,"DELAWARE","Metropolitan Statistical Area",619558,1,"Area actually reporting","violent_crime",NA
"50",1999,"DELAWARE","Cities outside metropolitan areas",31161,1,"Area actually reporting","violent_crime",NA
"51",1999,"DELAWARE","Rural",103281,1,"Area actually reporting","violent_crime",NA
"52",1999,"DELAWARE","State Total",754000,99,"total","violent_crime",5534
"53",1999,"DELAWARE","State Total",1e+05,99,"rate","violent_crime",734
"54",1999,"DISTRICT OF COLUMBIA","Metropolitan Statistical Area",519000,1,"Area actually reporting","violent_crime",8448
"55",1999,"DISTRICT OF COLUMBIA","Total",519000,99,"total","violent_crime",8448
"56",1999,"DISTRICT OF COLUMBIA","Total",1e+05,99,"rate","violent_crime",1627.7
"57",1999,"FLORIDA","Metropolitan Statistical Area",14047638,0.997,"Area actually reporting","violent_crime",121687
"58",1999,"FLORIDA","Metropolitan Statistical Area",14047638,1,"Estimated totals","violent_crime",122023
"59",1999,"FLORIDA","Cities outside metropolitan areas",227674,0.853,"Area actually reporting","violent_crime",1874
"60",1999,"FLORIDA","Cities outside metropolitan areas",227674,1,"Estimated totals","violent_crime",2196
"61",1999,"FLORIDA","Rural",835688,0.989,"Area actually reporting","violent_crime",4771
"62",1999,"FLORIDA","Rural",835688,1,"Estimated totals","violent_crime",4825
"63",1999,"FLORIDA","State Total",15111000,99,"total","violent_crime",129044
"64",1999,"FLORIDA","State Total",1e+05,99,"rate","violent_crime",854
"65",1999,"GEORGIA","Metropolitan Statistical Area",5365572,0.99,"Area actually reporting","violent_crime",30272
"66",1999,"GEORGIA","Metropolitan Statistical Area",5365572,1,"Estimated totals","violent_crime",30525
"67",1999,"GEORGIA","Cities outside metropolitan areas",859122,0.911,"Area actually reporting","violent_crime",5557
"68",1999,"GEORGIA","Cities outside metropolitan areas",859122,1,"Estimated totals","violent_crime",6099
"69",1999,"GEORGIA","Rural",1563306,0.944,"Area actually reporting","violent_crime",4685
"70",1999,"GEORGIA","Rural",1563306,1,"Estimated totals","violent_crime",4961
"71",1999,"GEORGIA","State Total",7788000,99,"total","violent_crime",41585
"72",1999,"GEORGIA","State Total",1e+05,99,"rate","violent_crime",534
"73",1999,"HAWAII","Metropolitan Statistical Area",866566,1,"Area actually reporting","violent_crime",2198
"74",1999,"HAWAII","Rural",318434,1,"Area actually reporting","violent_crime",587
"75",1999,"HAWAII","State Total",1185000,99,"total","violent_crime",2785
"76",1999,"HAWAII","State Total",1e+05,99,"rate","violent_crime",235
"77",1999,"IDAHO","Metropolitan Statistical Area",479939,1,"Area actually reporting","violent_crime",1288
"78",1999,"IDAHO","Cities outside metropolitan areas",353530,0.99,"Area actually reporting","violent_crime",1086
"79",1999,"IDAHO","Cities outside metropolitan areas",353530,1,"Estimated totals","violent_crime",1097
"80",1999,"IDAHO","Rural",418531,0.989,"Area actually reporting","violent_crime",674
"81",1999,"IDAHO","Rural",418531,1,"Estimated totals","violent_crime",681
"82",1999,"IDAHO","State Total",1252000,99,"total","violent_crime",3066
"83",1999,"IDAHO","State Total",1e+05,99,"rate","violent_crime",244.9
"84",1999,"ILLINOIS","State Total",12128000,99,"total","violent_crime",88838
"85",1999,"ILLINOIS","State Total",1e+05,99,"rate","violent_crime",732.5
"86",1999,"INDIANA","Metropolitan Statistical Area",4262065,0.838,"Area actually reporting","violent_crime",16956
"87",1999,"INDIANA","Metropolitan Statistical Area",4262065,1,"Estimated totals","violent_crime",18079
"88",1999,"INDIANA","Cities outside metropolitan areas",560805,0.768,"Area actually reporting","violent_crime",1000
"89",1999,"INDIANA","Cities outside metropolitan areas",560805,1,"Estimated totals","violent_crime",1303
