State,AGE
"Median Value",37.0000
"Alabama (17)",38.0000
"Alaska (49)",33.0000
"Arizona (26)",37.0000
"Arkansas (26)",37.0000
"California (45)",35.0000
"Colorado (36)",36.0000
"Connecticut (6)",40.0000
"Delaware (8)",39.0000
"District of Columbia (49)",33.0000
"Florida (4)",41.0000
"Georgia (36)",36.0000
"Hawaii (17)",38.0000
"Idaho (45)",35.0000
"Illinois (26)",37.0000
"Indiana (26)",37.0000
"Iowa (26)",37.0000
"Kansas (36)",36.0000
"Kentucky (17)",38.0000
"Louisiana (36)",36.0000
"Maine (1)",44.0000
"Maryland (17)",38.0000
"Massachusetts (8)",39.0000
"Michigan (8)",39.0000
"Minnesota (26)",37.0000
"Mississippi (36)",36.0000
"Missouri (17)",38.0000
"Montana (8)",39.0000
"Nebraska (36)",36.0000
"Nevada (26)",37.0000
"New Hampshire (2)",42.0000
"New Jersey (8)",39.0000
"New Mexico (26)",37.0000
"New York (17)",38.0000
"North Carolina (17)",38.0000
"North Dakota (47)",34.0000
"Ohio (8)",39.0000
"Oklahoma (36)",36.0000
"Oregon (8)",39.0000
"Pennsylvania (6)",40.0000
"Rhode Island (8)",39.0000
"South Carolina (17)",38.0000
"South Dakota (36)",36.0000
"Tennessee (17)",38.0000
"Texas (47)",34.0000
"Utah (51)",30.0000
"Vermont (2)",42.0000
"Virginia (26)",37.0000
"Washington (26)",37.0000
"West Virginia (4)",41.0000
"Wisconsin (8)",39.0000
"Wyoming (36)",36.0000

"Median Age (State) (2014)"
"Generated from SAGE Stats Database, April 18, 2021"
"Source: Woods & Poole Economics, Inc. using data published by the U.S. Department of Commerce, Bureau of Economic Analysis (BEA), and Census Bureau. Certain material used with permission of Woods & Poole Economics, Inc. © 2019 Woods & Poole Economics, Inc. All rights reserved. Historical data are subject to revision and projections are uncertain. Woods & Poole does not guarantee the accuracy of this data."
"General Notes: Historical data are revised each year and some historical data are estimated for witheld data due to disclosure and confidentiality policies. Hispanic population are persons of Spanish origin regardless of race; White, African American, American Indian or Alaskan Native, and Asian or Pacific Islander populations do not include Hispanic persons; these four races plus Hispanics sum to total residential population.<p> Employment, earnings, income, and population data 1969-2017 are historical from the U.S. Department of Commerce. Retail sales data from the Department of Commerce are historical for 1972, 1977, 1982, 1987, 1992, 1997, 2002, 2007, and 2012. Household data are historical for 1970, 1980, 1985, 1990, 2000 and 2010 from Department of Commerce. Household incomes (in 2009 dollars) are historical for 1990, 2000, and 2010 only. Finally, all other years of data, 1970-2017 or 1990-2017, for retail sales, households, population, and household incomes are estimated by Woods & Poole. Data for years 2018-2050 are projected."
