"","year","region","med_age"
"1",1995,"alabama",34
"2",1995,"alaska",31
"3",1995,"arizona",33
"4",1995,"arkansas",34
"5",1995,"california",32
"6",1995,"colorado",34
"7",1995,"connecticut",35
"8",1995,"delaware",34
"9",1995,"district of columbia",33
"10",1995,"florida",37
"11",1995,"georgia",32
"12",1995,"hawaii",34
"13",1995,"idaho",32
"14",1995,"illinois",33
"15",1995,"indiana",34
"16",1995,"iowa",35
"17",1995,"kansas",34
"18",1995,"kentucky",34
"19",1995,"louisiana",32
"20",1995,"maine",36
"21",1995,"maryland",34
"22",1995,"massachusetts",34
"23",1995,"michigan",34
"24",1995,"minnesota",34
"25",1995,"mississippi",32
"26",1995,"missouri",34
"27",1995,"montana",35
"28",1995,"nebraska",34
"29",1995,"nevada",34
"30",1995,"new hampshire",35
"31",1995,"new jersey",35
"32",1995,"new mexico",32
"33",1995,"new york",34
"34",1995,"north carolina",34
"35",1995,"north dakota",34
"36",1995,"ohio",34
"37",1995,"oklahoma",34
"38",1995,"oregon",35
"39",1995,"pennsylvania",36
"40",1995,"rhode island",35
"41",1995,"south carolina",33
"42",1995,"south dakota",34
"43",1995,"tennessee",34
"44",1995,"texas",31
"45",1995,"utah",27
"46",1995,"vermont",35
"47",1995,"virginia",34
"48",1995,"washington",34
"49",1995,"west virginia",37
"50",1995,"wisconsin",34
"51",1995,"wyoming",34
"52",1996,"alabama",34
"53",1996,"alaska",32
"54",1996,"arizona",33
"55",1996,"arkansas",35
"56",1996,"california",32
"57",1996,"colorado",34
"58",1996,"connecticut",36
"59",1996,"delaware",34
"60",1996,"district of columbia",33
"61",1996,"florida",37
"62",1996,"georgia",32
"63",1996,"hawaii",34
"64",1996,"idaho",33
"65",1996,"illinois",34
"66",1996,"indiana",34
"67",1996,"iowa",35
"68",1996,"kansas",34
"69",1996,"kentucky",34
"70",1996,"louisiana",32
"71",1996,"maine",36
"72",1996,"maryland",34
"73",1996,"massachusetts",35
"74",1996,"michigan",34
"75",1996,"minnesota",34
"76",1996,"mississippi",32
"77",1996,"missouri",35
"78",1996,"montana",36
"79",1996,"nebraska",34
"80",1996,"nevada",34
"81",1996,"new hampshire",35
"82",1996,"new jersey",35
"83",1996,"new mexico",33
"84",1996,"new york",34
"85",1996,"north carolina",34
"86",1996,"north dakota",34
"87",1996,"ohio",35
"88",1996,"oklahoma",34
"89",1996,"oregon",35
"90",1996,"pennsylvania",36
"91",1996,"rhode island",35
"92",1996,"south carolina",34
"93",1996,"south dakota",34
"94",1996,"tennessee",35
"95",1996,"texas",32
"96",1996,"utah",27
"97",1996,"vermont",35
"98",1996,"virginia",34
"99",1996,"washington",34
"100",1996,"west virginia",37
"101",1996,"wisconsin",35
"102",1996,"wyoming",34
"103",1997,"alabama",35
"104",1997,"alaska",32
"105",1997,"arizona",34
"106",1997,"arkansas",35
"107",1997,"california",32
"108",1997,"colorado",34
"109",1997,"connecticut",36
"110",1997,"delaware",35
"111",1997,"district of columbia",33
"112",1997,"florida",37
"113",1997,"georgia",33
"114",1997,"hawaii",35
"115",1997,"idaho",33
"116",1997,"illinois",34
"117",1997,"indiana",34
"118",1997,"iowa",36
"119",1997,"kansas",34
"120",1997,"kentucky",35
"121",1997,"louisiana",33
"122",1997,"maine",37
"123",1997,"maryland",35
"124",1997,"massachusetts",35
"125",1997,"michigan",34
"126",1997,"minnesota",34
"127",1997,"mississippi",33
"128",1997,"missouri",35
"129",1997,"montana",36
"130",1997,"nebraska",34
"131",1997,"nevada",34
"132",1997,"new hampshire",36
"133",1997,"new jersey",36
"134",1997,"new mexico",33
"135",1997,"new york",35
"136",1997,"north carolina",34
"137",1997,"north dakota",35
"138",1997,"ohio",35
"139",1997,"oklahoma",34
"140",1997,"oregon",36
"141",1997,"pennsylvania",37
"142",1997,"rhode island",36
"143",1997,"south carolina",34
"144",1997,"south dakota",34
"145",1997,"tennessee",35
"146",1997,"texas",32
"147",1997,"utah",27
"148",1997,"vermont",36
"149",1997,"virginia",34
"150",1997,"washington",34
"151",1997,"west virginia",37
"152",1997,"wisconsin",35
"153",1997,"wyoming",35
"154",1998,"alabama",35
"155",1998,"alaska",32
"156",1998,"arizona",34
"157",1998,"arkansas",35
"158",1998,"california",32
"159",1998,"colorado",34
"160",1998,"connecticut",36
"161",1998,"delaware",35
"162",1998,"district of columbia",34
"163",1998,"florida",38
"164",1998,"georgia",33
"165",1998,"hawaii",35
"166",1998,"idaho",33
"167",1998,"illinois",34
"168",1998,"indiana",34
"169",1998,"iowa",36
"170",1998,"kansas",34
"171",1998,"kentucky",35
"172",1998,"louisiana",33
"173",1998,"maine",37
"174",1998,"maryland",35
"175",1998,"massachusetts",35
"176",1998,"michigan",35
"177",1998,"minnesota",34
"178",1998,"mississippi",33
"179",1998,"missouri",35
"180",1998,"montana",36
"181",1998,"nebraska",35
"182",1998,"nevada",34
"183",1998,"new hampshire",36
"184",1998,"new jersey",36
"185",1998,"new mexico",33
"186",1998,"new york",35
"187",1998,"north carolina",35
"188",1998,"north dakota",35
"189",1998,"ohio",35
"190",1998,"oklahoma",35
"191",1998,"oregon",36
"192",1998,"pennsylvania",37
"193",1998,"rhode island",36
"194",1998,"south carolina",34
"195",1998,"south dakota",35
"196",1998,"tennessee",35
"197",1998,"texas",32
"198",1998,"utah",27
"199",1998,"vermont",36
"200",1998,"virginia",35
"201",1998,"washington",35
"202",1998,"west virginia",38
"203",1998,"wisconsin",35
"204",1998,"wyoming",35
"205",1999,"alabama",35
"206",1999,"alaska",32
"207",1999,"arizona",34
"208",1999,"arkansas",35
"209",1999,"california",33
"210",1999,"colorado",34
"211",1999,"connecticut",37
"212",1999,"delaware",35
