State,MILES,Notes
"National Total",3536338.0000,1
"Median Value",53997.0000,
"Alabama (28)",50750.0000,
"Alaska (1)",570374.0000,
"Arizona (6)",113642.0000,
"Arkansas (27)",52075.0000,
"California (3)",155973.0000,
"Colorado (8)",103729.0000,
"Connecticut (48)",4845.0000,
"Delaware (49)",1955.0000,
"District of Columbia (51)",61.0000,
"Florida (26)",53997.0000,
"Georgia (21)",57919.0000,
"Hawaii (47)",6423.0000,
"Idaho (11)",82751.0000,
"Illinois (24)",55593.0000,
"Indiana (38)",35870.0000,
"Iowa (23)",55875.0000,
"Kansas (13)",81823.0000,
"Kentucky (36)",39732.0000,
"Louisiana (33)",43566.0000,
"Maine (39)",30865.0000,
"Maryland (42)",9775.0000,
"Massachusetts (45)",7838.0000,
"Michigan (22)",56809.0000,
"Minnesota (14)",79617.0000,
"Mississippi (31)",46914.0000,
"Missouri (18)",68898.0000,
"Montana (4)",145556.0000,
"Nebraska (15)",76878.0000,
"Nevada (7)",109806.0000,
"New Hampshire (44)",8969.0000,
"New Jersey (46)",7419.0000,
"New Mexico (5)",121364.0000,
"New York (30)",47224.0000,
"North Carolina (29)",48718.0000,
"North Dakota (17)",68994.0000,
"Ohio (35)",40953.0000,
"Oklahoma (19)",68679.0000,
"Oregon (10)",96002.0000,
"Pennsylvania (32)",44820.0000,
"Rhode Island (50)",1045.0000,
"South Carolina (40)",30111.0000,
"South Dakota (16)",75896.0000,
"Tennessee (34)",41219.0000,
"Texas (2)",261914.0000,
"Utah (12)",82168.0000,
"Vermont (43)",9249.0000,
"Virginia (37)",39598.0000,
"Washington (20)",66581.0000,
"West Virginia (41)",24087.0000,
"Wisconsin (25)",54314.0000,
"Wyoming (9)",97105.0000,

"Land Area of States in Square Miles (State) (1990)"
"Generated from SAGE Stats Database, April 18, 2021"
"Source: U.S. Bureau of the Census, ""1990 Census of Population and Housing"" (Series CPH-1)"
Notes:
"1. National Total = 3,536,338 Square Miles of Land Area"
