State,PERCENT,Notes
"National Total",4.5000,1
"Median Value",4.3000,
"Alabama (38)",3.6000,
"Alaska (3)",6.7000,
"Arizona (30)",4.1000,
"Arkansas (11)",5.1000,
"California (17)",4.8000,
"Colorado (32)",4.0000,
"Connecticut (27)",4.2000,
"Delaware (41)",3.4000,
"District of Columbia (5)",6.3000,
"Florida (42)",3.3000,
"Georgia (21)",4.6000,
"Hawaii (51)",2.0000,
"Idaho (43)",3.2000,
"Illinois (30)",4.1000,
"Indiana (17)",4.8000,
"Iowa (39)",3.5000,
"Kansas (23)",4.5000,
"Kentucky (9)",5.2000,
"Louisiana (26)",4.3000,
"Maine (19)",4.7000,
"Maryland (34)",3.9000,
"Massachusetts (8)",5.3000,
"Michigan (2)",7.1000,
"Minnesota (27)",4.2000,
"Mississippi (1)",7.5000,
"Missouri (14)",4.9000,
"Montana (48)",2.9000,
"Nebraska (46)",3.1000,
"Nevada (25)",4.4000,
"New Hampshire (39)",3.5000,
"New Jersey (27)",4.2000,
"New Mexico (35)",3.8000,
"New York (32)",4.0000,
"North Carolina (14)",4.9000,
"North Dakota (43)",3.2000,
"Ohio (6)",5.6000,
"Oklahoma (35)",3.8000,
"Oregon (7)",5.4000,
"Pennsylvania (21)",4.6000,
"Rhode Island (9)",5.2000,
"South Carolina (4)",6.6000,
"South Dakota (43)",3.2000,
"Tennessee (19)",4.7000,
"Texas (23)",4.5000,
"Utah (50)",2.6000,
"Vermont (35)",3.8000,
"Virginia (48)",2.9000,
"Washington (13)",5.0000,
"West Virginia (11)",5.1000,
"Wisconsin (14)",4.9000,
"Wyoming (47)",3.0000,

"Unemployment Rate (State) (2006)"
"Generated from SAGE Stats Database, April 17, 2021"
"Source: U.S. Department of Labor, Bureau of Labor Statistics, ""Regional and State Employment and Unemployment"" (press release, January 23, 2007)"
Notes:
"1. National Rate = 4.5% of Labor Force Unemployed"
