"Title: Population Distribution by Age | KFF"
"Timeframe: 2017"
"Location","Children 0-18",Footnotes
"United States","0.240","1"
"Alabama","0.240"
"Alaska","0.271"
"Arizona","0.247"
"Arkansas","0.251"
"California","0.242"
"Colorado","0.238"
"Connecticut","0.222"
"Delaware","0.224"
"District of Columbia","0.191"
"Florida","0.213"
"Georgia","0.258"
"Hawaii","0.231"
"Idaho","0.273"
"Illinois","0.241"
"Indiana","0.250"
"Iowa","0.248"
"Kansas","0.260"
"Kentucky","0.242"
"Louisiana","0.255"
"Maine","0.201"
"Maryland","0.236"
"Massachusetts","0.216"
"Michigan","0.230"
"Minnesota","0.244"
"Mississippi","0.259"
"Missouri","0.241"
"Montana","0.225"
"Nebraska","0.260"
"Nevada","0.239"
"New Hampshire","0.204"
"New Jersey","0.233"
"New Mexico","0.250"
"New York","0.221"
"North Carolina","0.241"
"North Dakota","0.244"
"Ohio","0.237"
"Oklahoma","0.262"
"Oregon","0.222"
"Pennsylvania","0.222"
"Rhode Island","0.212"
"South Carolina","0.233"
"South Dakota","0.256"
"Tennessee","0.239"
"Texas","0.277"
"Utah","0.315"
"Vermont","0.200"
"Virginia","0.237"
"Washington","0.235"
"West Virginia","0.219"
"Wisconsin","0.234"
"Wyoming","0.253"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
