"Title: Distribution of Nonelderly Population by Household Employment Status | KFF"
"Timeframe: 2010"
"Location","At Least 1 Full Time Worker",Footnotes
"United States","0.786","1"
"Alabama","0.736"
"Alaska","0.795"
"Arizona","0.769"
"Arkansas","0.756"
"California","0.779"
"Colorado","0.807"
"Connecticut","0.818"
"Delaware","0.805"
"District of Columbia","0.755"
"Florida","0.765"
"Georgia","0.773"
"Hawaii","0.790"
"Idaho","0.789"
"Illinois","0.796"
"Indiana","0.787"
"Iowa","0.831"
"Kansas","0.823"
"Kentucky","0.737"
"Louisiana","0.770"
"Maine","0.777"
"Maryland","0.844"
"Massachusetts","0.798"
"Michigan","0.734"
"Minnesota","0.817"
"Mississippi","0.731"
"Missouri","0.786"
"Montana","0.776"
"Nebraska","0.842"
"Nevada","0.773"
"New Hampshire","0.845"
"New Jersey","0.838"
"New Mexico","0.754"
"New York","0.801"
"North Carolina","0.756"
"North Dakota","0.842"
"Ohio","0.771"
"Oklahoma","0.788"
"Oregon","0.747"
"Pennsylvania","0.795"
"Rhode Island","0.765"
"South Carolina","0.740"
"South Dakota","0.828"
"Tennessee","0.756"
"Texas","0.811"
"Utah","0.837"
"Vermont","0.804"
"Virginia","0.822"
"Washington","0.778"
"West Virginia","0.741"
"Wisconsin","0.811"
"Wyoming","0.849"

"Notes"
"Percentages may not sum to 100% due to rounding."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*Full Time Workers*: Individuals who work 35 hours per week or more."
""
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."


Footnotes
"1. US total excludes Puerto Rico."
