"","year","state","emp_rate"
"1",2010,"Alabama",0.736
"2",2010,"Alaska",0.795
"3",2010,"Arizona",0.769
"4",2010,"Arkansas",0.756
"5",2010,"California",0.779
"6",2010,"Colorado",0.807
"7",2010,"Connecticut",0.818
"8",2010,"Delaware",0.805
"9",2010,"District of Columbia",0.755
"10",2010,"Florida",0.765
"11",2010,"Georgia",0.773
"12",2010,"Hawaii",0.79
"13",2010,"Idaho",0.789
"14",2010,"Illinois",0.796
"15",2010,"Indiana",0.787
"16",2010,"Iowa",0.831
"17",2010,"Kansas",0.823
"18",2010,"Kentucky",0.737
"19",2010,"Louisiana",0.77
"20",2010,"Maine",0.777
"21",2010,"Maryland",0.844
"22",2010,"Massachusetts",0.798
"23",2010,"Michigan",0.734
"24",2010,"Minnesota",0.817
"25",2010,"Mississippi",0.731
"26",2010,"Missouri",0.786
"27",2010,"Montana",0.776
"28",2010,"Nebraska",0.842
"29",2010,"Nevada",0.773
"30",2010,"New Hampshire",0.845
"31",2010,"New Jersey",0.838
"32",2010,"New Mexico",0.754
"33",2010,"New York",0.801
"34",2010,"North Carolina",0.756
"35",2010,"North Dakota",0.842
"36",2010,"Ohio",0.771
"37",2010,"Oklahoma",0.788
"38",2010,"Oregon",0.747
"39",2010,"Pennsylvania",0.795
"40",2010,"Rhode Island",0.765
"41",2010,"South Carolina",0.74
"42",2010,"South Dakota",0.828
"43",2010,"Tennessee",0.756
"44",2010,"Texas",0.811
"45",2010,"Utah",0.837
"46",2010,"Vermont",0.804
"47",2010,"Virginia",0.822
"48",2010,"Washington",0.778
"49",2010,"West Virginia",0.741
"50",2010,"Wisconsin",0.811
"51",2010,"Wyoming",0.849
"52",2011,"Alabama",0.739
"53",2011,"Alaska",0.792
"54",2011,"Arizona",0.757
"55",2011,"Arkansas",0.762
"56",2011,"California",0.777
"57",2011,"Colorado",0.801
"58",2011,"Connecticut",0.818
"59",2011,"Delaware",0.788
"60",2011,"District of Columbia",0.753
"61",2011,"Florida",0.765
"62",2011,"Georgia",0.762
"63",2011,"Hawaii",0.784
"64",2011,"Idaho",0.798
"65",2011,"Illinois",0.797
"66",2011,"Indiana",0.787
"67",2011,"Iowa",0.833
"68",2011,"Kansas",0.828
"69",2011,"Kentucky",0.728
"70",2011,"Louisiana",0.759
"71",2011,"Maine",0.764
"72",2011,"Maryland",0.837
"73",2011,"Massachusetts",0.803
"74",2011,"Michigan",0.736
"75",2011,"Minnesota",0.829
"76",2011,"Mississippi",0.739
"77",2011,"Missouri",0.782
"78",2011,"Montana",0.763
"79",2011,"Nebraska",0.85
"80",2011,"Nevada",0.773
"81",2011,"New Hampshire",0.844
"82",2011,"New Jersey",0.835
"83",2011,"New Mexico",0.747
"84",2011,"New York",0.795
"85",2011,"North Carolina",0.757
"86",2011,"North Dakota",0.861
"87",2011,"Ohio",0.771
"88",2011,"Oklahoma",0.792
"89",2011,"Oregon",0.745
"90",2011,"Pennsylvania",0.79
"91",2011,"Rhode Island",0.786
"92",2011,"South Carolina",0.748
"93",2011,"South Dakota",0.841
"94",2011,"Tennessee",0.763
"95",2011,"Texas",0.814
"96",2011,"Utah",0.837
"97",2011,"Vermont",0.813
"98",2011,"Virginia",0.819
"99",2011,"Washington",0.786
"100",2011,"West Virginia",0.721
"101",2011,"Wisconsin",0.81
"102",2011,"Wyoming",0.854
"103",2012,"Alabama",0.748
"104",2012,"Alaska",0.785
"105",2012,"Arizona",0.775
"106",2012,"Arkansas",0.775
"107",2012,"California",0.784
"108",2012,"Colorado",0.824
"109",2012,"Connecticut",0.815
"110",2012,"Delaware",0.808
"111",2012,"District of Columbia",0.773
"112",2012,"Florida",0.769
"113",2012,"Georgia",0.767
"114",2012,"Hawaii",0.789
"115",2012,"Idaho",0.804
"116",2012,"Illinois",0.806
"117",2012,"Indiana",0.801
"118",2012,"Iowa",0.845
"119",2012,"Kansas",0.837
"120",2012,"Kentucky",0.741
"121",2012,"Louisiana",0.76
"122",2012,"Maine",0.769
"123",2012,"Maryland",0.845
"124",2012,"Massachusetts",0.803
"125",2012,"Michigan",0.743
"126",2012,"Minnesota",0.838
"127",2012,"Mississippi",0.726
"128",2012,"Missouri",0.791
"129",2012,"Montana",0.791
"130",2012,"Nebraska",0.872
"131",2012,"Nevada",0.782
"132",2012,"New Hampshire",0.847
"133",2012,"New Jersey",0.838
"134",2012,"New Mexico",0.745
"135",2012,"New York",0.797
"136",2012,"North Carolina",0.767
"137",2012,"North Dakota",0.867
"138",2012,"Ohio",0.78
"139",2012,"Oklahoma",0.802
"140",2012,"Oregon",0.753
"141",2012,"Pennsylvania",0.795
"142",2012,"Rhode Island",0.793
"143",2012,"South Carolina",0.749
"144",2012,"South Dakota",0.843
"145",2012,"Tennessee",0.768
"146",2012,"Texas",0.82
"147",2012,"Utah",0.843
"148",2012,"Vermont",0.814
"149",2012,"Virginia",0.828
"150",2012,"Washington",0.791
"151",2012,"West Virginia",0.734
"152",2012,"Wisconsin",0.816
"153",2012,"Wyoming",0.849
"154",2013,"Alabama",0.749
"155",2013,"Alaska",0.806
"156",2013,"Arizona",0.785
"157",2013,"Arkansas",0.771
"158",2013,"California",0.791
"159",2013,"Colorado",0.824
"160",2013,"Connecticut",0.818
"161",2013,"Delaware",0.793
"162",2013,"District of Columbia",0.757
"163",2013,"Florida",0.775
"164",2013,"Georgia",0.783
"165",2013,"Hawaii",0.804
"166",2013,"Idaho",0.82
"167",2013,"Illinois",0.81
"168",2013,"Indiana",0.803
"169",2013,"Iowa",0.849
"170",2013,"Kansas",0.841
"171",2013,"Kentucky",0.754
"172",2013,"Louisiana",0.768
"173",2013,"Maine",0.798
"174",2013,"Maryland",0.849
"175",2013,"Massachusetts",0.81
"176",2013,"Michigan",0.764
"177",2013,"Minnesota",0.847
"178",2013,"Mississippi",0.731
"179",2013,"Missouri",0.797
"180",2013,"Montana",0.765
"181",2013,"Nebraska",0.868
"182",2013,"Nevada",0.787
"183",2013,"New Hampshire",0.846
"184",2013,"New Jersey",0.838
"185",2013,"New Mexico",0.732
"186",2013,"New York",0.802
"187",2013,"North Carolina",0.774
"188",2013,"North Dakota",0.87
"189",2013,"Ohio",0.785
"190",2013,"Oklahoma",0.814
"191",2013,"Oregon",0.767
"192",2013,"Pennsylvania",0.802
"193",2013,"Rhode Island",0.793
"194",2013,"South Carolina",0.759
"195",2013,"South Dakota",0.821
"196",2013,"Tennessee",0.772
"197",2013,"Texas",0.826
"198",2013,"Utah",0.845
"199",2013,"Vermont",0.806
