"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2013"
"Location","White",Footnotes
"United States","0.626","1"
"Alabama","0.666"
"Alaska","0.625"
"Arizona","0.568"
"Arkansas","0.738"
"California","0.389"
"Colorado","0.694"
"Connecticut","0.695"
"Delaware","0.643"
"District of Columbia","0.351"
"Florida","0.563"
"Georgia","0.549"
"Hawaii","0.217"
"Idaho","0.833"
"Illinois","0.628"
"Indiana","0.807"
"Iowa","0.876"
"Kansas","0.773"
"Kentucky","0.860"
"Louisiana","0.599"
"Maine","0.941"
"Maryland","0.532"
"Massachusetts","0.748"
"Michigan","0.762"
"Minnesota","0.820"
"Mississippi","0.576"
"Missouri","0.806"
"Montana","0.874"
"Nebraska","0.809"
"Nevada","0.522"
"New Hampshire","0.917"
"New Jersey","0.575"
"New Mexico","0.394"
"New York","0.570"
"North Carolina","0.645"
"North Dakota","0.874"
"Ohio","0.806"
"Oklahoma","0.677"
"Oregon","0.775"
"Pennsylvania","0.786"
"Rhode Island","0.746"
"South Carolina","0.642"
"South Dakota","0.837"
"Tennessee","0.751"
"Texas","0.440"
"Utah","0.796"
"Vermont","0.941"
"Virginia","0.638"
"Washington","0.710"
"West Virginia","0.932"
"Wisconsin","0.826"
"Wyoming","0.850"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
