"Title: Population Distribution by Sex | KFF"
"Timeframe: 2013"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.481"
"Alaska","0.513"
"Arizona","0.492"
"Arkansas","0.491"
"California","0.494"
"Colorado","0.498"
"Connecticut","0.486"
"Delaware","0.482"
"District of Columbia","0.468"
"Florida","0.485"
"Georgia","0.483"
"Hawaii","0.489"
"Idaho","0.499"
"Illinois","0.489"
"Indiana","0.489"
"Iowa","0.494"
"Kansas","0.494"
"Kentucky","0.489"
"Louisiana","0.482"
"Maine","0.488"
"Maryland","0.483"
"Massachusetts","0.484"
"Michigan","0.489"
"Minnesota","0.493"
"Mississippi","0.480"
"Missouri","0.487"
"Montana","0.497"
"Nebraska","0.494"
"Nevada","0.499"
"New Hampshire","0.491"
"New Jersey","0.486"
"New Mexico","0.492"
"New York","0.484"
"North Carolina","0.482"
"North Dakota","0.507"
"Ohio","0.487"
"Oklahoma","0.490"
"Oregon","0.493"
"Pennsylvania","0.486"
"Rhode Island","0.490"
"South Carolina","0.480"
"South Dakota","0.502"
"Tennessee","0.486"
"Texas","0.492"
"Utah","0.502"
"Vermont","0.493"
"Virginia","0.484"
"Washington","0.496"
"West Virginia","0.491"
"Wisconsin","0.495"
"Wyoming","0.504"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
