"Title: Population Distribution by Sex | KFF"
"Timeframe: 2016"
"Location","Male",Footnotes
"United States","0.489","1"
"Alabama","0.481"
"Alaska","0.517"
"Arizona","0.492"
"Arkansas","0.488"
"California","0.494"
"Colorado","0.499"
"Connecticut","0.486"
"Delaware","0.480"
"District of Columbia","0.471"
"Florida","0.485"
"Georgia","0.481"
"Hawaii","0.492"
"Idaho","0.496"
"Illinois","0.488"
"Indiana","0.490"
"Iowa","0.495"
"Kansas","0.494"
"Kentucky","0.488"
"Louisiana","0.483"
"Maine","0.486"
"Maryland","0.480"
"Massachusetts","0.486"
"Michigan","0.489"
"Minnesota","0.496"
"Mississippi","0.476"
"Missouri","0.490"
"Montana","0.502"
"Nebraska","0.496"
"Nevada","0.498"
"New Hampshire","0.499"
"New Jersey","0.486"
"New Mexico","0.489"
"New York","0.484"
"North Carolina","0.481"
"North Dakota","0.512"
"Ohio","0.489"
"Oklahoma","0.491"
"Oregon","0.495"
"Pennsylvania","0.488"
"Rhode Island","0.484"
"South Carolina","0.480"
"South Dakota","0.502"
"Tennessee","0.484"
"Texas","0.492"
"Utah","0.502"
"Vermont","0.492"
"Virginia","0.485"
"Washington","0.495"
"West Virginia","0.492"
"Wisconsin","0.494"
"Wyoming","0.505"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
"   "
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
