"","year","state","youth_rate"
"1",2010,"Alabama",0.254
"2",2010,"Alaska",0.287
"3",2010,"Arizona",0.27
"4",2010,"Arkansas",0.26
"5",2010,"California",0.265
"6",2010,"Colorado",0.259
"7",2010,"Connecticut",0.244
"8",2010,"Delaware",0.245
"9",2010,"District of Columbia",0.184
"10",2010,"Florida",0.227
"11",2010,"Georgia",0.274
"12",2010,"Hawaii",0.24
"13",2010,"Idaho",0.289
"14",2010,"Illinois",0.259
"15",2010,"Indiana",0.263
"16",2010,"Iowa",0.252
"17",2010,"Kansas",0.272
"18",2010,"Kentucky",0.249
"19",2010,"Louisiana",0.264
"20",2010,"Maine",0.218
"21",2010,"Maryland",0.248
"22",2010,"Massachusetts",0.232
"23",2010,"Michigan",0.251
"24",2010,"Minnesota",0.255
"25",2010,"Mississippi",0.274
"26",2010,"Missouri",0.252
"27",2010,"Montana",0.243
"28",2010,"Nebraska",0.265
"29",2010,"Nevada",0.261
"30",2010,"New Hampshire",0.232
"31",2010,"New Jersey",0.248
"32",2010,"New Mexico",0.267
"33",2010,"New York",0.237
"34",2010,"North Carolina",0.256
"35",2010,"North Dakota",0.241
"36",2010,"Ohio",0.25
"37",2010,"Oklahoma",0.268
"38",2010,"Oregon",0.239
"39",2010,"Pennsylvania",0.235
"40",2010,"Rhode Island",0.229
"41",2010,"South Carolina",0.251
"42",2010,"South Dakota",0.267
"43",2010,"Tennessee",0.251
"44",2010,"Texas",0.291
"45",2010,"Utah",0.333
"46",2010,"Vermont",0.22
"47",2010,"Virginia",0.249
"48",2010,"Washington",0.25
"49",2010,"West Virginia",0.223
"50",2010,"Wisconsin",0.249
"51",2010,"Wyoming",0.259
"52",2011,"Alabama",0.251
"53",2011,"Alaska",0.278
"54",2011,"Arizona",0.266
"55",2011,"Arkansas",0.257
"56",2011,"California",0.262
"57",2011,"Colorado",0.254
"58",2011,"Connecticut",0.241
"59",2011,"Delaware",0.243
"60",2011,"District of Columbia",0.187
"61",2011,"Florida",0.224
"62",2011,"Georgia",0.273
"63",2011,"Hawaii",0.24
"64",2011,"Idaho",0.283
"65",2011,"Illinois",0.256
"66",2011,"Indiana",0.262
