"","data_year","officer_rate_per_1000","state_full"
"111",2010,2.35,"Alabama"
"51",2010,1.77,"Alaska"
"291",2010,2,"Arizona"
"171",2010,2.12,"Arkansas"
"351",2010,2.19,"California"
"411",2010,2.42,"Colorado"
"471",2010,2.35,"Connecticut"
"651",2010,3.89,"Delaware"
"591",2010,7.59,"District of Columbia"
"711",2010,2.45,"Florida"
"831",2010,4.03,"Georgia"
"951",2010,2.28,"Hawaii"
"1071",2010,1.92,"Idaho"
"1131",2010,2.76,"Illinois"
"1191",2010,1.86,"Indiana"
"1011",2010,1.71,"Iowa"
"1251",2010,2.6,"Kansas"
"1311",2010,2.11,"Kentucky"
"1371",2010,3.76,"Louisiana"
"1551",2010,1.68,"Maine"
"1491",2010,2.69,"Maryland"
"1431",2010,2.47,"Massachusetts"
"1611",2010,2.02,"Michigan"
"1671",2010,1.62,"Minnesota"
"1851",2010,2.19,"Mississippi"
"1731",2010,2.62,"Missouri"
"1911",2010,1.86,"Montana"
"2091",2010,1.93,"Nebraska"
"2331",2010,2.18,"Nevada"
"2151",2010,1.98,"New Hampshire"
"2211",2010,3.56,"New Jersey"
"2271",2010,2.2,"New Mexico"
"2391",2010,3,"New York"
"1971",2010,2.58,"North Carolina"
"2031",2010,1.98,"North Dakota"
"2451",2010,2.03,"Ohio"
"2511",2010,2.05,"Oklahoma"
"2571",2010,1.81,"Oregon"
"2691",2010,2.06,"Pennsylvania"
"2811",2010,2.41,"Rhode Island"
"2871",2010,2.67,"South Carolina"
"2931",2010,1.79,"South Dakota"
"2991",2010,2.67,"Tennessee"
"3051",2010,2.19,"Texas"
"3111",2010,1.78,"Utah"
"3291",2010,1.95,"Vermont"
"3171",2010,2.39,"Virginia"
"3351",2010,1.58,"Washington"
"3471",2010,1.95,"West Virginia"
"3411",2010,2.29,"Wisconsin"
"3531",2010,2.52,"Wyoming"
"112",2011,2.38,"Alabama"
"52",2011,1.82,"Alaska"
"292",2011,1.93,"Arizona"
"172",2011,2.16,"Arkansas"
"352",2011,2.09,"California"
"412",2011,2.33,"Colorado"
"472",2011,2.28,"Connecticut"
"652",2011,3.77,"Delaware"
"592",2011,7.88,"District of Columbia"
"712",2011,2.39,"Florida"
"832",2011,3.96,"Georgia"
"952",2011,2.26,"Hawaii"
"1072",2011,1.88,"Idaho"
"1132",2011,2.71,"Illinois"
"1192",2011,1.84,"Indiana"
"1012",2011,1.71,"Iowa"
"1252",2011,2.57,"Kansas"
"1312",2011,2.1,"Kentucky"
"1372",2011,3.82,"Louisiana"
"1552",2011,1.69,"Maine"
"1492",2011,2.64,"Maryland"
"1432",2011,2.49,"Massachusetts"
"1612",2011,1.94,"Michigan"
"1672",2011,1.64,"Minnesota"
"1852",2011,2.14,"Mississippi"
"1732",2011,2.6,"Missouri"
"1912",2011,1.89,"Montana"
"2092",2011,1.98,"Nebraska"
"2332",2011,2.02,"Nevada"
"2152",2011,1.98,"New Hampshire"
"2212",2011,3.35,"New Jersey"
"2272",2011,2.21,"New Mexico"
"2392",2011,2.95,"New York"
"1972",2011,2.56,"North Carolina"
"2032",2011,1.97,"North Dakota"
"2452",2011,2,"Ohio"
"2512",2011,1.99,"Oklahoma"
"2572",2011,5.71,"Oregon"
"2692",2011,2.06,"Pennsylvania"
"2812",2011,2.36,"Rhode Island"
"2872",2011,2.81,"South Carolina"
"2932",2011,1.83,"South Dakota"
"2992",2011,2.66,"Tennessee"
"3052",2011,2.16,"Texas"
"3112",2011,1.82,"Utah"
"3292",2011,1.89,"Vermont"
"3172",2011,2.37,"Virginia"
"3352",2011,1.52,"Washington"
"3472",2011,1.83,"West Virginia"
"3412",2011,2.22,"Wisconsin"
"3532",2011,2.72,"Wyoming"
"113",2012,2.32,"Alabama"
"53",2012,1.81,"Alaska"
"293",2012,1.99,"Arizona"
"173",2012,2.16,"Arkansas"
"353",2012,2.04,"California"
"413",2012,2.37,"Colorado"
"473",2012,2.3,"Connecticut"
"653",2012,2.52,"Delaware"
"593",2012,7.81,"District of Columbia"
"713",2012,2.46,"Florida"
"833",2012,3.92,"Georgia"
"953",2012,2.22,"Hawaii"
"1073",2012,1.87,"Idaho"
"1133",2012,2.67,"Illinois"
"1193",2012,1.79,"Indiana"
"1013",2012,1.67,"Iowa"
"1253",2012,2.57,"Kansas"
"1313",2012,2.11,"Kentucky"
"1373",2012,3.77,"Louisiana"
"1553",2012,1.67,"Maine"
"1493",2012,2.88,"Maryland"
"1433",2012,2.45,"Massachusetts"
"1613",2012,1.88,"Michigan"
"1673",2012,1.64,"Minnesota"
"1853",2012,2.05,"Mississippi"
"1733",2012,2.54,"Missouri"
"1913",2012,1.87,"Montana"
"2093",2012,1.91,"Nebraska"
"2333",2012,2.06,"Nevada"
"2153",2012,1.96,"New Hampshire"
"2213",2012,3.3,"New Jersey"
"2273",2012,2.19,"New Mexico"
"2393",2012,2.92,"New York"
"1973",2012,2.55,"North Carolina"
"2033",2012,2.04,"North Dakota"
"2453",2012,1.94,"Ohio"
"2513",2012,2.04,"Oklahoma"
"2573",2012,1.75,"Oregon"
"2693",2012,1.98,"Pennsylvania"
"2813",2012,2.33,"Rhode Island"
"2873",2012,2.65,"South Carolina"
"2933",2012,1.87,"South Dakota"
"2993",2012,2.68,"Tennessee"
"3053",2012,2.07,"Texas"
"3113",2012,1.63,"Utah"
"3293",2012,2,"Vermont"
"3173",2012,2.36,"Virginia"
"3353",2012,1.46,"Washington"
"3473",2012,1.89,"West Virginia"
"3413",2012,2.2,"Wisconsin"
"3533",2012,2.55,"Wyoming"
"114",2013,2.37,"Alabama"
"54",2013,1.84,"Alaska"
"294",2013,1.84,"Arizona"
"174",2013,2.17,"Arkansas"
"354",2013,2.02,"California"
