"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"1",1995,"alabama",632.4,83.8029556650246,2.13,20.1,5.6,34
"2",1995,"alaska",770.9,1.05895430016095,1.88,7.1,7.9,31
"3",1995,"arizona",713.5,37.1165590186727,2.05,16.1,4.4,33
"4",1995,"arkansas",553.2,47.7004320691311,1.87,14.9,4.5,34
"5",1995,"california",966,202.528642777917,1.98,16.7,7.7,32
"6",1995,"colorado",440.2,36.1229742887717,2.24,8.8,3.9,34
"7",1995,"connecticut",405.9,675.954592363261,2.21,9.7,5.1,35
"8",1995,"delaware",725,366.751918158568,2.86,10.3,4.7,34
"9",1995,"district of columbia",2661.4,9081.96721311475,6.66,22.2,8.6,33
"10",1995,"florida",1071,262.347908217123,2.56,16.2,6.2,37
"11",1995,"georgia",657.1,124.328804019406,4.34,12.1,4.6,32
"12",1995,"hawaii",295.6,184.804608438424,2.26,10.3,5.5,34
"13",1995,"idaho",322,14.0542108252468,1.83,14.5,5.4,32
"14",1995,"illinois",996.1,212.796575108377,2.72,12.4,5.7,33
"15",1995,"indiana",524.7,161.778645107332,1.62,9.6,4.2,34
"16",1995,"iowa",354.4,50.8635346756152,1.63,12.2,3.3,35
"17",1995,"kansas",420.7,31.3481539420456,2.45,10.8,3.7,34
"18",1995,"kentucky",364.7,97.1509111043995,1.87,14.7,4.9,34
"19",1995,"louisiana",1007.4,99.6648762796676,3.19,19.7,6.5,32
"20",1995,"maine",131.4,40.2073546087802,1.6,11.2,5.1,36
"21",1995,"maryland",986.9,515.805626598465,2.61,10.1,4.8,34
"22",1995,"massachusetts",687.2,774.942587394744,2.57,11,5.2,34
"23",1995,"michigan",687.8,168.089563273425,2.05,12.2,5.3,34
"24",1995,"minnesota",356.1,57.9022068151274,1.65,9.2,3.4,34
"25",1995,"mississippi",502.8,57.4881698426909,1.83,23.5,5.8,32
"26",1995,"missouri",663.8,77.2736509042352,2.07,9.4,3.6,34
"27",1995,"montana",170.6,5.97708098601226,1.65,15.3,5.7,35
"28",1995,"nebraska",382,21.2934779780952,1.78,9.6,2.6,34
"29",1995,"nevada",945.2,13.9336648270586,2.45,11.1,5,34
"30",1995,"new hampshire",114.5,127.996432155201,1.59,5.3,3.2,35
"31",1995,"new jersey",599.8,1070.89904299771,3.51,7.8,7.3,35
"32",1995,"new mexico",819.2,13.883853531525,2.18,25.3,6.2,32
"33",1995,"new york",841.9,384.042012535999,3.49,16.5,6.4,34
"34",1995,"north carolina",646.4,147.686686645593,2.58,12.6,5.1,34
"35",1995,"north dakota",86.7,9.29066295619909,1.54,12,2.9,34
"36",1995,"ohio",482.5,272.287744487583,1.88,11.5,5.1,34
"37",1995,"oklahoma",664.1,47.7292913408757,2,17.1,4.4,34
"38",1995,"oregon",522.4,32.7180683735755,1.96,11.2,4.9,35
"39",1995,"pennsylvania",427.3,269.344042838019,1.94,12.2,6.3,36
"40",1995,"rhode island",368,947.368421052632,2.35,10.6,6.4,35
"41",1995,"south carolina",981.9,121.981999933579,2.36,19.9,5.4,33
"42",1995,"south dakota",207.5,9.60524928850005,1.52,14.5,2.9,34
"43",1995,"tennessee",771.5,127.514010529125,2.01,15.5,5.1,34
"44",1995,"texas",663.9,71.4891147475889,2.25,17.4,6.4,31
"45",1995,"utah",328.8,23.7440366079252,1.97,8.4,2.8,27
"46",1995,"vermont",118.3,63.2500810898475,1.54,10.3,4.1,35
"47",1995,"virginia",361.5,167.129653012778,2.09,10.2,4.3,34
"48",1995,"washington",484.3,81.5698172151214,1.61,12.5,5.8,34
"49",1995,"west virginia",210.2,75.8915597625275,1.59,16.7,7.6,37
"50",1995,"wisconsin",281.1,94.3219059542659,2.3,8.5,3.7,34
"51",1995,"wyoming",254.2,4.94310282683693,2.41,12.2,4,34
"52",1996,"alabama",565.4,84.1970443349754,2.19,16.8,5,34
"53",1996,"alaska",727.7,1.06421400694983,1.9,8.5,7.5,32
"54",1996,"arizona",631.5,38.9644673624188,2.03,17.5,5.2,33
"55",1996,"arkansas",524.3,48.1997119539126,1.95,15.8,5.2,35
"56",1996,"california",862.7,204.38152757208,2.06,17.2,6.9,32
"57",1996,"colorado",404.5,36.8556527104281,2.29,9.5,3.7,34
"58",1996,"connecticut",412,675.748194014448,2.52,10.7,5.1,36
"59",1996,"delaware",668.3,370.843989769821,2.83,9.1,5.4,34
"60",1996,"district of columbia",2469.8,8901.6393442623,6.69,22.5,7.3,33
"61",1996,"florida",1051,266.681482304572,2.53,15.1,4.9,37
"62",1996,"georgia",638.7,126.953158721663,4.22,13.6,4.5,32
"63",1996,"hawaii",280.6,184.337536976491,2.32,10.4,6,34
"64",1996,"idaho",267.2,14.3684064240916,2.05,12.8,5,33
"65",1996,"illinois",886.2,213.102369003292,2.72,12.3,5,34
"66",1996,"indiana",537,162.838026205743,1.66,10.3,3.6,34
"67",1996,"iowa",272.5,51.0425055928412,1.63,10.8,3.4,35
"68",1996,"kansas",413.8,31.4337044596263,2.46,12.3,4,34
"69",1996,"kentucky",320.5,97.7549582200745,1.85,16.7,5,34
"70",1996,"louisiana",929.1,99.871459394941,3.23,22,6.1,32
"71",1996,"maine",124.9,40.272152924024,1.61,10.6,4.2,36
"72",1996,"maryland",931.2,518.874680306905,2.62,10.4,4.4,34
"73",1996,"massachusetts",642.2,777.239091605001,2.64,10.3,3.9,35
"74",1996,"michigan",635.3,168.881691281311,1.97,12.5,4.7,34
"75",1996,"minnesota",338.8,58.505093133376,1.68,10.2,3.7,34
"76",1996,"mississippi",488.3,57.8931662190391,1.92,21.3,5.5,32
"77",1996,"missouri",590.9,77.7816482336207,2.09,11.5,4.5,35
"78",1996,"montana",161,6.03891285828135,1.67,14.6,4.6,36
"79",1996,"nebraska",434.7,21.4885923150966,1.81,9.5,2.7,34
"80",1996,"nevada",811.3,14.5984736717484,2.45,10.1,5,34
"81",1996,"new hampshire",118.2,129.557364254655,1.63,6.5,3.9,35
"82",1996,"new jersey",531.5,1076.69497236824,3.54,8.7,6.2,35
"83",1996,"new mexico",840.6,14.1145644507432,2.2,24,7.1,33
"84",1996,"new york",727,385.079620531933,3.46,16.7,6,34
"85",1996,"north carolina",588.1,150.314052300998,2.61,13,4,34
"86",1996,"north dakota",84,9.33414499811578,1.56,11.1,2.7,34
"87",1996,"ohio",428.7,272.824945669426,1.91,12.8,5,35
"88",1996,"oklahoma",597.1,48.0641826468062,2,16.8,4.3,34
"89",1996,"oregon",463.1,33.3743047019854,1.64,11.6,5.5,35
"90",1996,"pennsylvania",432.5,268.987059348505,1.96,12.1,4.7,36
"91",1996,"rhode island",347.2,947.368421052632,2.36,10.6,4.9,35
"92",1996,"south carolina",996.9,122.845471754508,2.29,15.6,6.1,34
"93",1996,"south dakota",177.2,9.64477706334985,1.54,13.6,2.9,34
"94",1996,"tennessee",774,129.0666925447,2.11,15.3,5.1,35
"95",1996,"texas",644.4,73.0316057942683,2.24,17.7,5.5,32
"96",1996,"utah",331.9,24.3403758154026,1.69,8,3,27
"97",1996,"vermont",121.2,63.6825602767867,1.42,10.2,4.5,35
"98",1996,"virginia",341.3,168.569119652508,2.13,11.1,4,34
"99",1996,"washington",431.2,83.1017857947462,1.54,12,5.8,34
"100",1996,"west virginia",210.1,75.8085274214307,1.63,17.9,7.2,37
"101",1996,"wisconsin",252.7,95.0031299480797,2.31,8.8,3.1,35
"102",1996,"wyoming",249.7,4.95340095772617,2.62,11.1,4.6,34
"103",1997,"alabama",564.5,85.1034482758621,2.04,16.6,5.1,35
"104",1997,"alaska",701.1,1.06772047814241,1.41,8,7.9,32
"105",1997,"arizona",623.7,40.0820119322082,1.82,17.9,4.6,34
"106",1997,"arkansas",526.9,48.4493518963034,1.78,17.2,5.3,35
"107",1997,"california",798.3,206.881960339289,1.87,16.7,6.3,32
"108",1997,"colorado",363.2,37.5304880987959,2.4,9.2,3.3,34
"109",1997,"connecticut",390.9,674.922600619195,1.98,10,5.1,36
"110",1997,"delaware",677.9,374.424552429668,2.05,9.5,4,35
"111",1997,"district of columbia",2024.2,8672.13114754098,7.98,22.7,7.9,33
"112",1997,"florida",1023.6,271.385447339667,2.53,14.9,4.8,37
"113",1997,"georgia",606.6,129.249469086138,4.1,13.8,4.5,33
"114",1997,"hawaii",277.9,184.804608438424,2.47,12.1,6.4,35
"115",1997,"idaho",256.8,14.6221797923892,1.76,13.7,5.3,33
"116",1997,"illinois",861.4,213.983774935693,2.6,11.9,4.7,34
"117",1997,"indiana",514.6,163.479230554781,1.71,8.6,3.5,34
"118",1997,"iowa",310,51.0425055928412,1.65,10.5,3.3,36
"119",1997,"kansas",409.2,31.7147990173912,2.52,10.5,3.8,34
"120",1997,"kentucky",316.9,98.3590053357495,1.85,15.9,5.4,35
"121",1997,"louisiana",855.9,99.8944130744158,3.5,18.8,6.1,33
"122",1997,"maine",120.8,40.2397537664021,1.63,10.9,5.4,37
"123",1997,"maryland",846.6,521.125319693095,2.71,9.6,5.1,35
"124",1997,"massachusetts",644.2,780.556264353151,2.66,11.1,4,35
"125",1997,"michigan",590,172.050203312855,2.04,11.2,4.2,34
"126",1997,"minnesota",337.8,58.8567768190211,1.71,9.5,3.3,34
"127",1997,"mississippi",469,58.2129002003666,1.96,20.2,5.7,33
"128",1997,"missouri",577.4,78.4057592382943,2.13,10.2,4.2,35
"129",1997,"montana",132.1,6.03891285828135,1.69,16,5.4,36
"130",1997,"nebraska",438.4,21.5536304274305,1.81,9.9,2.6,34
"131",1997,"nevada",798.7,15.2723894869133,2.45,10.1,4.1,34
