"","data_year","officer_rate_per_1000","state_full"
"96",1995,2.13,"alabama"
"36",1995,1.88,"alaska"
"276",1995,2.05,"arizona"
"156",1995,1.87,"arkansas"
"336",1995,1.98,"california"
"396",1995,2.24,"colorado"
"456",1995,2.21,"connecticut"
"636",1995,2.86,"delaware"
"576",1995,6.66,"district of columbia"
"696",1995,2.56,"florida"
"816",1995,4.34,"georgia"
"936",1995,2.26,"hawaii"
"1056",1995,1.83,"idaho"
"1116",1995,2.72,"illinois"
"1176",1995,1.62,"indiana"
"996",1995,1.63,"iowa"
"1236",1995,2.45,"kansas"
"1296",1995,1.87,"kentucky"
"1356",1995,3.19,"louisiana"
"1536",1995,1.6,"maine"
"1476",1995,2.61,"maryland"
"1416",1995,2.57,"massachusetts"
"1596",1995,2.05,"michigan"
"1656",1995,1.65,"minnesota"
"1836",1995,1.83,"mississippi"
"1716",1995,2.07,"missouri"
"1896",1995,1.65,"montana"
"2076",1995,1.78,"nebraska"
"2316",1995,2.45,"nevada"
"2136",1995,1.59,"new hampshire"
"2196",1995,3.51,"new jersey"
"2256",1995,2.18,"new mexico"
"2376",1995,3.49,"new york"
"1956",1995,2.58,"north carolina"
"2016",1995,1.54,"north dakota"
"2436",1995,1.88,"ohio"
"2496",1995,2,"oklahoma"
"2556",1995,1.96,"oregon"
"2676",1995,1.94,"pennsylvania"
"2796",1995,2.35,"rhode island"
"2856",1995,2.36,"south carolina"
"2916",1995,1.52,"south dakota"
"2976",1995,2.01,"tennessee"
"3036",1995,2.25,"texas"
"3096",1995,1.97,"utah"
"3276",1995,1.54,"vermont"
"3156",1995,2.09,"virginia"
"3336",1995,1.61,"washington"
"3456",1995,1.59,"west virginia"
"3396",1995,2.3,"wisconsin"
"3516",1995,2.41,"wyoming"
"97",1996,2.19,"alabama"
"37",1996,1.9,"alaska"
"277",1996,2.03,"arizona"
"157",1996,1.95,"arkansas"
"337",1996,2.06,"california"
"397",1996,2.29,"colorado"
"457",1996,2.52,"connecticut"
"637",1996,2.83,"delaware"
"577",1996,6.69,"district of columbia"
"697",1996,2.53,"florida"
"817",1996,4.22,"georgia"
"937",1996,2.32,"hawaii"
"1057",1996,2.05,"idaho"
"1117",1996,2.72,"illinois"
"1177",1996,1.66,"indiana"
"997",1996,1.63,"iowa"
"1237",1996,2.46,"kansas"
"1297",1996,1.85,"kentucky"
"1357",1996,3.23,"louisiana"
"1537",1996,1.61,"maine"
"1477",1996,2.62,"maryland"
"1417",1996,2.64,"massachusetts"
"1597",1996,1.97,"michigan"
"1657",1996,1.68,"minnesota"
"1837",1996,1.92,"mississippi"
"1717",1996,2.09,"missouri"
"1897",1996,1.67,"montana"
"2077",1996,1.81,"nebraska"
"2317",1996,2.45,"nevada"
"2137",1996,1.63,"new hampshire"
"2197",1996,3.54,"new jersey"
"2257",1996,2.2,"new mexico"
"2377",1996,3.46,"new york"
"1957",1996,2.61,"north carolina"
"2017",1996,1.56,"north dakota"
"2437",1996,1.91,"ohio"
"2497",1996,2,"oklahoma"
"2557",1996,1.64,"oregon"
"2677",1996,1.96,"pennsylvania"
"2797",1996,2.36,"rhode island"
"2857",1996,2.29,"south carolina"
"2917",1996,1.54,"south dakota"
"2977",1996,2.11,"tennessee"
"3037",1996,2.24,"texas"
"3097",1996,1.69,"utah"
"3277",1996,1.42,"vermont"
"3157",1996,2.13,"virginia"
"3337",1996,1.54,"washington"
"3457",1996,1.63,"west virginia"
"3397",1996,2.31,"wisconsin"
"3517",1996,2.62,"wyoming"
"98",1997,2.04,"alabama"
"38",1997,1.41,"alaska"
"278",1997,1.82,"arizona"
"158",1997,1.78,"arkansas"
"338",1997,1.87,"california"
"398",1997,2.4,"colorado"
"458",1997,1.98,"connecticut"
"638",1997,2.05,"delaware"
"578",1997,7.98,"district of columbia"
"698",1997,2.53,"florida"
"818",1997,4.1,"georgia"
"938",1997,2.47,"hawaii"
"1058",1997,1.76,"idaho"
"1118",1997,2.6,"illinois"
"1178",1997,1.71,"indiana"
"998",1997,1.65,"iowa"
"1238",1997,2.52,"kansas"
"1298",1997,1.85,"kentucky"
"1358",1997,3.5,"louisiana"
"1538",1997,1.63,"maine"
"1478",1997,2.71,"maryland"
"1418",1997,2.66,"massachusetts"
"1598",1997,2.04,"michigan"
"1658",1997,1.71,"minnesota"
"1838",1997,1.96,"mississippi"
"1718",1997,2.13,"missouri"
"1898",1997,1.69,"montana"
"2078",1997,1.81,"nebraska"
"2318",1997,2.45,"nevada"
"2138",1997,1.63,"new hampshire"
"2198",1997,3.65,"new jersey"
"2258",1997,2.21,"new mexico"
"2378",1997,3.56,"new york"
"1958",1997,2.64,"north carolina"
"2018",1997,1.64,"north dakota"
"2438",1997,1.98,"ohio"
"2498",1997,2.02,"oklahoma"
"2558",1997,1.64,"oregon"
"2678",1997,1.99,"pennsylvania"
"2798",1997,2.4,"rhode island"
"2858",1997,2.38,"south carolina"
"2918",1997,1.54,"south dakota"
"2978",1997,2.28,"tennessee"
"3038",1997,2.22,"texas"
"3098",1997,1.76,"utah"
