"","year","region","pov_rate"
"1",1995,"alabama",20.1
"2",1995,"alaska",7.1
"3",1995,"arizona",16.1
"4",1995,"arkansas",14.9
"5",1995,"california",16.7
"6",1995,"colorado",8.8
"7",1995,"connecticut",9.7
"8",1995,"delaware",10.3
"9",1995,"district of columbia",22.2
"10",1995,"florida",16.2
"11",1995,"georgia",12.1
"12",1995,"hawaii",10.3
"13",1995,"idaho",14.5
"14",1995,"illinois",12.4
"15",1995,"indiana",9.6
"16",1995,"iowa",12.2
"17",1995,"kansas",10.8
"18",1995,"kentucky",14.7
"19",1995,"louisiana",19.7
"20",1995,"maine",11.2
"21",1995,"maryland",10.1
"22",1995,"massachusetts",11
"23",1995,"michigan",12.2
"24",1995,"minnesota",9.2
"25",1995,"mississippi",23.5
"26",1995,"missouri",9.4
"27",1995,"montana",15.3
"28",1995,"nebraska",9.6
"29",1995,"nevada",11.1
"30",1995,"new hampshire",5.3
"31",1995,"new jersey",7.8
"32",1995,"new mexico",25.3
"33",1995,"new york",16.5
"34",1995,"north carolina",12.6
"35",1995,"north dakota",12
"36",1995,"ohio",11.5
"37",1995,"oklahoma",17.1
"38",1995,"oregon",11.2
"39",1995,"pennsylvania",12.2
"40",1995,"rhode island",10.6
"41",1995,"south carolina",19.9
"42",1995,"south dakota",14.5
"43",1995,"tennessee",15.5
"44",1995,"texas",17.4
"45",1995,"utah",8.4
"46",1995,"vermont",10.3
"47",1995,"virginia",10.2
"48",1995,"washington",12.5
"49",1995,"west virginia",16.7
"50",1995,"wisconsin",8.5
"51",1995,"wyoming",12.2
"52",1996,"alabama",16.8
"53",1996,"alaska",8.5
"54",1996,"arizona",17.5
"55",1996,"arkansas",15.8
"56",1996,"california",17.2
"57",1996,"colorado",9.5
"58",1996,"connecticut",10.7
"59",1996,"delaware",9.1
"60",1996,"district of columbia",22.5
"61",1996,"florida",15.1
"62",1996,"georgia",13.6
"63",1996,"hawaii",10.4
"64",1996,"idaho",12.8
"65",1996,"illinois",12.3
"66",1996,"indiana",10.3
"67",1996,"iowa",10.8
"68",1996,"kansas",12.3
"69",1996,"kentucky",16.7
"70",1996,"louisiana",22
"71",1996,"maine",10.6
"72",1996,"maryland",10.4
"73",1996,"massachusetts",10.3
"74",1996,"michigan",12.5
"75",1996,"minnesota",10.2
"76",1996,"mississippi",21.3
"77",1996,"missouri",11.5
"78",1996,"montana",14.6
"79",1996,"nebraska",9.5
"80",1996,"nevada",10.1
"81",1996,"new hampshire",6.5
"82",1996,"new jersey",8.7
"83",1996,"new mexico",24
"84",1996,"new york",16.7
"85",1996,"north carolina",13
"86",1996,"north dakota",11.1
"87",1996,"ohio",12.8
"88",1996,"oklahoma",16.8
"89",1996,"oregon",11.6
"90",1996,"pennsylvania",12.1
"91",1996,"rhode island",10.6
"92",1996,"south carolina",15.6
"93",1996,"south dakota",13.6
"94",1996,"tennessee",15.3
"95",1996,"texas",17.7
"96",1996,"utah",8
"97",1996,"vermont",10.2
"98",1996,"virginia",11.1
"99",1996,"washington",12
"100",1996,"west virginia",17.9
"101",1996,"wisconsin",8.8
"102",1996,"wyoming",11.1
"103",1997,"alabama",16.6
"104",1997,"alaska",8
"105",1997,"arizona",17.9
"106",1997,"arkansas",17.2
