"","year","region","unemp_rate"
"1",1995,"alabama",5.6
"2",1995,"alaska",7.9
"3",1995,"arizona",4.4
"4",1995,"arkansas",4.5
"5",1995,"california",7.7
"6",1995,"colorado",3.9
"7",1995,"connecticut",5.1
"8",1995,"delaware",4.7
"9",1995,"district of columbia",8.6
"10",1995,"florida",6.2
"11",1995,"georgia",4.6
"12",1995,"hawaii",5.5
"13",1995,"idaho",5.4
"14",1995,"illinois",5.7
"15",1995,"indiana",4.2
"16",1995,"iowa",3.3
"17",1995,"kansas",3.7
"18",1995,"kentucky",4.9
"19",1995,"louisiana",6.5
"20",1995,"maine",5.1
"21",1995,"maryland",4.8
"22",1995,"massachusetts",5.2
"23",1995,"michigan",5.3
"24",1995,"minnesota",3.4
"25",1995,"mississippi",5.8
"26",1995,"missouri",3.6
"27",1995,"montana",5.7
"28",1995,"nebraska",2.6
"29",1995,"nevada",5
"30",1995,"new hampshire",3.2
"31",1995,"new jersey",7.3
"32",1995,"new mexico",6.2
"33",1995,"new york",6.4
"34",1995,"north carolina",5.1
"35",1995,"north dakota",2.9
"36",1995,"ohio",5.1
"37",1995,"oklahoma",4.4
"38",1995,"oregon",4.9
"39",1995,"pennsylvania",6.3
"40",1995,"rhode island",6.4
"41",1995,"south carolina",5.4
"42",1995,"south dakota",2.9
"43",1995,"tennessee",5.1
"44",1995,"texas",6.4
"45",1995,"utah",2.8
"46",1995,"vermont",4.1
"47",1995,"virginia",4.3
"48",1995,"washington",5.8
"49",1995,"west virginia",7.6
"50",1995,"wisconsin",3.7
"51",1995,"wyoming",4
"52",1996,"alabama",5
"53",1996,"alaska",7.5
"54",1996,"arizona",5.2
"55",1996,"arkansas",5.2
"56",1996,"california",6.9
"57",1996,"colorado",3.7
"58",1996,"connecticut",5.1
"59",1996,"delaware",5.4
"60",1996,"district of columbia",7.3
"61",1996,"florida",4.9
"62",1996,"georgia",4.5
"63",1996,"hawaii",6
"64",1996,"idaho",5
"65",1996,"illinois",5
"66",1996,"indiana",3.6
"67",1996,"iowa",3.4
"68",1996,"kansas",4
"69",1996,"kentucky",5
"70",1996,"louisiana",6.1
"71",1996,"maine",4.2
"72",1996,"maryland",4.4
"73",1996,"massachusetts",3.9
"74",1996,"michigan",4.7
"75",1996,"minnesota",3.7
"76",1996,"mississippi",5.5
"77",1996,"missouri",4.5
"78",1996,"montana",4.6
"79",1996,"nebraska",2.7
"80",1996,"nevada",5
"81",1996,"new hampshire",3.9
"82",1996,"new jersey",6.2
"83",1996,"new mexico",7.1
"84",1996,"new york",6
"85",1996,"north carolina",4
"86",1996,"north dakota",2.7
"87",1996,"ohio",5
"88",1996,"oklahoma",4.3
"89",1996,"oregon",5.5
"90",1996,"pennsylvania",4.7
"91",1996,"rhode island",4.9
"92",1996,"south carolina",6.1
"93",1996,"south dakota",2.9
"94",1996,"tennessee",5.1
"95",1996,"texas",5.5
"96",1996,"utah",3
"97",1996,"vermont",4.5
"98",1996,"virginia",4
"99",1996,"washington",5.8
"100",1996,"west virginia",7.2
"101",1996,"wisconsin",3.1
"102",1996,"wyoming",4.6
"103",1997,"alabama",5.1
"104",1997,"alaska",7.9
"105",1997,"arizona",4.6
"106",1997,"arkansas",5.3
"107",1997,"california",6.3
"108",1997,"colorado",3.3
"109",1997,"connecticut",5.1
"110",1997,"delaware",4
"111",1997,"district of columbia",7.9
"112",1997,"florida",4.8
"113",1997,"georgia",4.5
"114",1997,"hawaii",6.4
"115",1997,"idaho",5.3
"116",1997,"illinois",4.7
"117",1997,"indiana",3.5
"118",1997,"iowa",3.3
"119",1997,"kansas",3.8
"120",1997,"kentucky",5.4
"121",1997,"louisiana",6.1
"122",1997,"maine",5.4
"123",1997,"maryland",5.1
"124",1997,"massachusetts",4
"125",1997,"michigan",4.2
"126",1997,"minnesota",3.3
"127",1997,"mississippi",5.7
"128",1997,"missouri",4.2
"129",1997,"montana",5.4
"130",1997,"nebraska",2.6
"131",1997,"nevada",4.1
"132",1997,"new hampshire",3.1
"133",1997,"new jersey",5.1
